province,density
Toplam-Total,108
Adana,161
Adıyaman,89
Afyonkarahisar,51
Ağrı,47
Amasya,59
Ankara,230
Antalya,121
Artvin,23
Aydın,142
Balıkesir,86
Bilecik,51
Bingöl,34
Bitlis,50
Bolu,38
Burdur,40
Bursa,293
Çanakkale,55
Çankırı,26
Çorum,41
Denizli,89
Diyarbakır,117
Edirne,68
Elazığ,70
Erzincan,20
Erzurum,30
Eskişehir,64
Gaziantep,303
Giresun,66
Gümüşhane,26
Hakkari,39
Hatay,279
Isparta,54
Mersin,119
İstanbul,2 987
İzmir,364
Kars,28
Kastamonu,29
Kayseri,83
Kırklareli,58
Kırşehir,38
Kocaeli,541
Konya,57
Kütahya,48
Malatya,68
Manisa,110
Kahramanmaraş,80
Mardin,95
Muğla,77
Muş,51
Nevşehir,56
Niğde,49
Ordu,127
Rize,88
Sakarya,213
Samsun,148
Siirt,60
Sinop,38
Sivas,22
Tekirdağ,167
Tokat,62
Trabzon,173
Tunceli,11
Şanlıurfa,111
Uşak,69
Van,59
Yozgat,30
Zonguldak,180
Aksaray,55
Bayburt,23
Karaman,29
Kırıkkale,62
Batman,131
Şırnak,74
Bartın,95
Ardahan,20
Iğdır,56
Yalova,320
Karabük,60
Kilis,100
Osmaniye,172
Düzce,153
